epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,1061.02,1.15687,0.76587,1.09696,0.6306,0.55978,0.59172,0.34601,1.16141,0.7649,1.12335,0.00103288,0.00103288,0.00103288
16,1131.61,1.14119,0.75567,1.08975,0.6599,0.57033,0.6172,0.35566,1.1793,0.75149,1.12727,0.00100459,0.00100459,0.00100459
17,1202.21,1.12282,0.73716,1.08001,0.72196,0.5632,0.63613,0.3714,1.11559,0.72615,1.10557,0.000976293,0.000976293,0.000976293
18,1272.77,1.10542,0.72687,1.07409,0.68387,0.55358,0.60927,0.34125,1.16238,0.7516,1.12786,0.000947999,0.000947999,0.000947999
19,1343.35,1.08631,0.71244,1.0661,0.71699,0.58738,0.65173,0.38047,1.14621,0.72339,1.11007,0.000919704,0.000919704,0.000919704
20,1413.76,1.08457,0.70398,1.06259,0.70561,0.59434,0.64289,0.37601,1.12192,0.72074,1.10306,0.00089141,0.00089141,0.00089141
21,1484.22,1.06513,0.68332,1.05231,0.70967,0.55112,0.63735,0.37597,1.11223,0.72474,1.10256,0.000863116,0.000863116,0.000863116
22,1555.09,1.05553,0.6821,1.05061,0.72538,0.56347,0.63507,0.3752,1.13428,0.70665,1.10062,0.000834822,0.000834822,0.000834822
23,1626.53,1.04609,0.67532,1.04613,0.72172,0.5975,0.66153,0.3899,1.12963,0.69821,1.09989,0.000806528,0.000806528,0.000806528
24,1696.65,1.03892,0.66308,1.03751,0.69768,0.59319,0.65709,0.38975,1.09884,0.6981,1.09047,0.000778233,0.000778233,0.000778233
25,1766.73,1.02139,0.65148,1.03648,0.79447,0.59437,0.69035,0.40131,1.13226,0.68645,1.09431,0.000749939,0.000749939,0.000749939
26,1837.06,1.01412,0.64746,1.02686,0.75934,0.6065,0.68143,0.41523,1.05134,0.66193,1.06591,0.000721645,0.000721645,0.000721645
27,1907.17,1.00765,0.639,1.02579,0.76569,0.61219,0.6941,0.41561,1.0877,0.6622,1.07845,0.000693351,0.000693351,0.000693351
28,1977.53,0.99439,0.63248,1.02137,0.80515,0.60919,0.70705,0.43147,1.04503,0.66134,1.06499,0.000665057,0.000665057,0.000665057
29,2048.05,0.98906,0.61938,1.01715,0.77087,0.62304,0.72175,0.43769,1.05078,0.64253,1.06397,0.000636762,0.000636762,0.000636762
30,2119.19,0.97737,0.6139,1.01425,0.80389,0.61442,0.71598,0.43835,1.03638,0.63555,1.0561,0.000608468,0.000608468,0.000608468
31,2189.61,0.97239,0.60711,1.00816,0.81407,0.62959,0.73153,0.44163,1.04641,0.62525,1.05835,0.000580174,0.000580174,0.000580174
32,2260.3,0.95788,0.59858,1.00281,0.80543,0.62504,0.73228,0.45096,1.02225,0.61868,1.04655,0.00055188,0.00055188,0.00055188
33,2331.01,0.95274,0.59099,0.99801,0.78042,0.66194,0.74223,0.45165,1.02293,0.61433,1.05015,0.000523586,0.000523586,0.000523586
34,2402.09,0.94916,0.59224,0.99812,0.80353,0.65712,0.74758,0.45738,1.04849,0.61539,1.05788,0.000495291,0.000495291,0.000495291
35,2472.69,0.9372,0.58005,0.99385,0.77324,0.68348,0.75405,0.46744,1.01791,0.60264,1.04353,0.000466997,0.000466997,0.000466997
36,2543.63,0.92596,0.57116,0.99161,0.81301,0.66836,0.76309,0.47903,1.01368,0.60144,1.0418,0.000438703,0.000438703,0.000438703
37,2614.3,0.91644,0.56556,0.98499,0.78983,0.67344,0.75506,0.46135,1.03722,0.60541,1.05166,0.000410409,0.000410409,0.000410409
38,2684.52,0.91185,0.56073,0.98554,0.75544,0.68439,0.74806,0.45414,1.04146,0.61063,1.04918,0.000382115,0.000382115,0.000382115
39,2755.02,0.90421,0.555,0.98088,0.86989,0.66098,0.77406,0.47305,1.02903,0.59438,1.0438,0.00035382,0.00035382,0.00035382
40,2825.54,0.89265,0.54888,0.97832,0.84909,0.65846,0.76979,0.47293,1.02541,0.59876,1.04143,0.000325526,0.000325526,0.000325526
41,2894.46,0.88295,0.54363,0.97288,0.82323,0.68043,0.76921,0.46716,1.05261,0.59773,1.05135,0.000297232,0.000297232,0.000297232
42,2960.45,0.88066,0.54176,0.97282,0.8069,0.69271,0.77391,0.47197,1.03247,0.59718,1.04403,0.000268938,0.000268938,0.000268938
43,3025.86,0.87155,0.53849,0.96906,0.79026,0.69104,0.77364,0.48147,1.00319,0.58682,1.03294,0.000240644,0.000240644,0.000240644
44,3092.15,0.86306,0.52965,0.9653,0.83737,0.68154,0.78054,0.47997,1.03198,0.59189,1.04271,0.000212349,0.000212349,0.000212349
45,3157.86,0.86071,0.52782,0.96378,0.82768,0.69226,0.77559,0.48146,1.02133,0.58783,1.03765,0.000184055,0.000184055,0.000184055
46,3224.34,0.85354,0.52314,0.95989,0.86877,0.66272,0.78181,0.48434,1.02006,0.58969,1.0385,0.000155761,0.000155761,0.000155761
47,3290.04,0.84516,0.5192,0.95739,0.83475,0.67971,0.7812,0.48548,1.02049,0.58664,1.03811,0.000127467,0.000127467,0.000127467
48,3355.82,0.83872,0.51499,0.95569,0.82873,0.70541,0.79188,0.49393,1.01053,0.5829,1.03383,9.91726e-05,9.91726e-05,9.91726e-05
49,3421.44,0.83461,0.51225,0.95592,0.81774,0.70188,0.79121,0.4918,1.01833,0.58076,1.03535,7.08784e-05,7.08784e-05,7.08784e-05
50,3487.39,0.82953,0.50912,0.95073,0.8149,0.70072,0.7887,0.49073,1.00939,0.57864,1.03241,4.25842e-05,4.25842e-05,4.25842e-05
