epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
15,1064.53,1.15687,0.76587,1.09696,0.6306,0.55978,0.59172,0.34601,1.16141,0.7649,1.12335,0.00103288,0.00103288,0.00103288
16,1135.09,1.14119,0.75567,1.08975,0.6599,0.57033,0.6172,0.35566,1.1793,0.75149,1.12727,0.00100459,0.00100459,0.00100459
17,1205.69,1.12282,0.73716,1.08001,0.72196,0.5632,0.63613,0.3714,1.11559,0.72615,1.10557,0.000976293,0.000976293,0.000976293
18,1276.32,1.10542,0.72687,1.07409,0.68387,0.55358,0.60927,0.34125,1.16238,0.7516,1.12786,0.000947999,0.000947999,0.000947999
19,1347.04,1.08631,0.71244,1.0661,0.71699,0.58738,0.65173,0.38047,1.14621,0.72339,1.11007,0.000919704,0.000919704,0.000919704
20,1418.22,1.08457,0.70398,1.06259,0.70561,0.59434,0.64289,0.37601,1.12192,0.72074,1.10306,0.00089141,0.00089141,0.00089141
21,1488.74,1.06513,0.68332,1.05231,0.70967,0.55112,0.63735,0.37597,1.11223,0.72474,1.10256,0.000863116,0.000863116,0.000863116
22,1559.27,1.05553,0.6821,1.05061,0.72538,0.56347,0.63507,0.3752,1.13428,0.70665,1.10062,0.000834822,0.000834822,0.000834822
23,1630.03,1.04609,0.67532,1.04613,0.72172,0.5975,0.66153,0.3899,1.12963,0.69821,1.09989,0.000806528,0.000806528,0.000806528
24,1700.9,1.03892,0.66308,1.03751,0.69768,0.59319,0.65709,0.38975,1.09884,0.6981,1.09047,0.000778233,0.000778233,0.000778233
25,1771.65,1.02139,0.65148,1.03648,0.79447,0.59437,0.69035,0.40131,1.13226,0.68645,1.09431,0.000749939,0.000749939,0.000749939
26,1842.51,1.01412,0.64746,1.02686,0.75934,0.6065,0.68143,0.41523,1.05134,0.66193,1.06591,0.000721645,0.000721645,0.000721645
27,1913.3,1.00765,0.639,1.02579,0.76569,0.61219,0.6941,0.41561,1.0877,0.6622,1.07845,0.000693351,0.000693351,0.000693351
28,1984.02,0.99439,0.63248,1.02137,0.80515,0.60919,0.70705,0.43147,1.04503,0.66134,1.06499,0.000665057,0.000665057,0.000665057
